1.0000000,0.0000000,0.0000000,0.0000000
0.9999047,0.0000000,0.0000000,0.0138058
0.9999047,0.0000000,0.0138058,0.0000000
0.9999047,-0.0138058,0.0000000,0.0000000
0.9999047,0.0138058,0.0000000,0.0000000
0.9999047,0.0000000,-0.0138058,0.0000000
0.9999047,0.0000000,0.0000000,-0.0138058
0.9997931,-0.0057179,0.0138043,0.0138043
0.9997931,0.0057179,0.0138043,0.0138043
0.9997931,-0.0138043,0.0057179,0.0138043
0.9997931,0.0138043,0.0057179,0.0138043
0.9997931,-0.0138043,0.0138043,0.0057179
0.9997931,-0.0138043,-0.0057179,0.0138043
0.9997931,0.0138043,0.0138043,0.0057179
0.9997931,0.0138043,-0.0057179,0.0138043
0.9997931,-0.0057179,-0.0138043,0.0138043
0.9997931,0.0057179,-0.0138043,0.0138043
0.9997931,-0.0138043,0.0138043,-0.0057179
0.9997931,-0.0138043,-0.0138043,0.0057179
0.9997931,0.0138043,0.0138043,-0.0057179
0.9997931,0.0138043,-0.0138043,0.0057179
0.9997931,-0.0057179,0.0138043,-0.0138043
0.9997931,0.0057179,0.0138043,-0.0138043
0.9997931,-0.0138043,0.0057179,-0.0138043
0.9997931,-0.0138043,-0.0138043,-0.0057179
0.9997931,0.0138043,0.0057179,-0.0138043
0.9997931,0.0138043,-0.0138043,-0.0057179
0.9997931,-0.0138043,-0.0057179,-0.0138043
0.9997931,0.0138043,-0.0057179,-0.0138043
0.9997931,-0.0057179,-0.0138043,-0.0138043
0.9997931,0.0057179,-0.0138043,-0.0138043
0.9996189,0.0000000,0.0000000,0.0276037
0.9996189,0.0000000,0.0276037,0.0000000
0.9996189,-0.0276037,0.0000000,0.0000000
0.9996189,0.0276037,0.0000000,0.0000000
0.9996189,0.0000000,-0.0276037,0.0000000
0.9996189,0.0000000,0.0000000,-0.0276037
0.9995074,-0.0057163,0.0138003,0.0276006
0.9995074,0.0057163,0.0138003,0.0276006
0.9995074,-0.0138003,0.0057163,0.0276006
0.9995074,0.0138003,0.0057163,0.0276006
0.9995074,-0.0138003,-0.0057163,0.0276006
0.9995074,-0.0057163,0.0276006,0.0138003
