SpotID	IntegratedIntensity	Omega(degrees)	YCen(px)	ZCen(px)	IMax	Radius(px)	Eta(degrees)	SigmaR	SigmaEta	NrPixels	TotalNrPixelsInPeakRegion	nPeaks	maxY	maxZ	diffY	diffZ	rawIMax	returnCode	retVal	BG	SigmaGR	SigmaLR	SigmaGEta	SigmaLEta	MU
1	47354.133048	158.000000	168.000295	687.000122	3750.000000	917.355119	-111.418670	9.046339	0.095872	45	45	1	168	687	-0.000295	-0.000122	7500.000000	4	6261.892442	0.000000	9.046339	1.534998	0.005004	0.095872	1.000000
2	82534.088199	158.000000	1831.622940	591.360659	11229.282937	917.027561	118.008561	1.143888	0.063923	56	56	2	1832	591	0.377060	-0.360659	10259.000000	4	1122.103734	0.000000	1.143888	0.010002	0.063923	0.005522	0.000000
3	12552.812334	158.000000	1830.581528	592.480781	5129.500000	915.582245	117.977279	10.528078	0.036164	56	56	2	1831	592	0.418472	-0.480781	10259.000000	4	1122.103734	0.000000	10.528078	0.536770	0.016254	0.036164	1.000000
