SpotID	IntegratedIntensity	Omega(degrees)	YCen(px)	ZCen(px)	IMax	Radius(px)	Eta(degrees)	SigmaR	SigmaEta	NrPixels	TotalNrPixelsInPeakRegion	nPeaks	maxY	maxZ	diffY	diffZ	rawIMax	returnCode	retVal	BG	SigmaGR	SigmaLR	SigmaGEta	SigmaLEta	MU
1	58055.367679	-10.250000	211.431749	590.938250	10169.500056	918.060521	-118.004131	1.096401	0.598674	56	56	2	212	592	0.568251	1.061750	10259.000000	4	4262.473727	0.000000	0.010000	1.096401	0.598674	0.044490	1.000000
2	48549.636930	-10.250000	211.515125	592.162307	51294.999955	917.412761	-117.939080	1.122956	0.043760	56	56	2	211	591	-0.515125	-1.162307	10259.000000	4	4262.473727	0.000000	0.153217	1.122956	0.018773	0.043760	0.159522
