SpotID	IntegratedIntensity	Omega(degrees)	YCen(px)	ZCen(px)	IMax	Radius(px)	Eta(degrees)	SigmaR	SigmaEta	NrPixels	TotalNrPixelsInPeakRegion	nPeaks	maxY	maxZ	diffY	diffZ	rawIMax	returnCode	retVal	BG	SigmaGR	SigmaLR	SigmaGEta	SigmaLEta	MU
1	47354.134581	-22.000000	168.000296	1356.999878	3750.000000	917.355118	-68.581330	9.046339	0.095872	45	45	1	168	1357	-0.000296	0.000122	7500.000000	4	6261.892442	0.000000	9.046339	1.534998	0.005001	0.095872	1.000000
2	47072.106778	-22.000000	1832.000255	1452.999928	7501.255849	917.530028	61.982624	0.999551	0.062416	56	56	2	1832	1453	-0.000255	0.000072	10259.000000	4	7.206783	0.000000	0.999551	0.010957	0.062416	0.009615	0.000000
3	47123.845878	-22.000000	1830.999729	1451.999983	7502.797958	916.177137	62.008437	0.999644	0.062558	56	56	2	1831	1452	0.000271	0.000017	10259.000000	4	7.206783	0.000000	0.999644	0.406373	0.062558	0.010295	0.000000
