SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) SigmaR SigmaEta NrPx NrPxTot Radius(px) Eta(degrees)
39 82682.873641 135.750000 443.029626 310.373851 26022.340266 135.750000 135.750000 1.067830 0.064056 52.000000 52.000000 917.397661 -140.868618
40 13167.735187 135.750000 442.856263 311.406502 40690.277779 135.750000 135.750000 0.843402 0.041236 52.000000 52.000000 916.706380 -140.819480
41 47626.362005 134.250000 420.000283 1517.999754 3750.000000 134.250000 134.250000 9.174240 0.112522 45.000000 45.000000 780.012445 -50.514199
42 47519.202367 134.250000 1530.999508 819.000207 3750.000000 134.250000 134.250000 9.054902 0.159743 45.000000 45.000000 547.986692 111.743161
43 47353.974965 133.750000 1531.999505 822.000205 3750.000000 133.750000 133.750000 1.892158 0.160545 45.000000 45.000000 547.813302 111.412968
44 47623.725236 132.750000 374.000213 1671.999787 3750.000000 132.750000 132.750000 9.073213 0.566604 45.000000 45.000000 917.825390 -44.911717
45 47623.726944 132.500000 372.000213 1668.999787 3750.000000 132.500000 132.500000 9.074318 0.547219 45.000000 45.000000 917.119647 -45.132527
46 47076.000550 130.750000 947.000036 107.000281 3750.000000 130.750000 130.750000 8.306707 0.518414 45.000000 45.000000 918.068342 -175.314101
47 47075.998365 126.000000 945.000037 108.000281 3750.000000 126.000000 126.000000 7.728922 0.418378 45.000000 45.000000 917.237418 -175.184484
48 47309.272679 124.250000 288.000348 758.000130 3750.000000 124.250000 124.250000 8.999697 0.661052 45.000000 45.000000 780.032961 -109.782289
49 57049.228450 123.500000 289.888400 755.987285 8820.279663 123.500000 123.500000 1.026584 0.220178 52.000000 52.000000 778.941692 -109.968612
50 37173.357343 123.500000 288.907307 756.023545 6024.000000 123.500000 123.500000 0.992033 0.072770 52.000000 52.000000 779.851506 -109.941492
51 47626.363412 122.750000 1622.999717 526.000247 3750.000000 122.750000 122.750000 9.173644 0.674513 45.000000 45.000000 779.240922 129.532556
52 47626.329282 120.500000 1601.999790 1731.999757 3750.000000 120.500000 120.500000 9.177232 0.451662 45.000000 45.000000 916.787550 39.245434
53 95252.541808 119.375000 1599.499790 1733.499756 3750.000000 119.250000 119.500000 9.177620 0.573829 90.000000 90.000000 916.445530 39.021075
54 47088.113041 118.750000 122.000273 1201.999939 3750.000000 118.750000 118.750000 7.528940 0.095911 45.000000 45.000000 917.823233 -78.690068
55 94183.151518 118.250000 122.000273 1198.999940 7500.000000 118.250000 118.250000 1.536595 0.540894 45.000000 45.000000 917.239602 -78.873825
56 47623.726374 118.000000 1668.999787 372.000214 3750.000000 118.000000 118.000000 7.481193 0.477761 45.000000 45.000000 917.119647 135.132527
57 47623.724270 117.750000 1670.999786 375.000213 3750.000000 117.750000 117.750000 9.073193 0.567479 45.000000 45.000000 916.411178 134.911581
58 47310.659417 114.750000 1753.999651 1285.999869 3750.000000 114.750000 114.750000 1.535302 0.662731 45.000000 45.000000 778.151284 70.167870
59 47088.450652 114.000000 1752.999028 1287.999566 7495.479009 114.000000 114.000000 0.999500 0.073714 52.000000 52.000000 777.891604 70.004313
60 47101.949185 114.000000 1753.999771 1288.000532 7508.016745 114.000000 114.000000 0.999679 0.073510 52.000000 52.000000 778.832426 70.029421
61 47088.594889 108.250000 1919.999726 842.000061 3750.000000 108.250000 108.250000 1.536397 0.542334 45.000000 45.000000 915.862154 101.334470
62 94183.609600 107.750000 1920.999727 845.000060 7500.000000 107.750000 107.750000 1.536593 0.096087 45.000000 45.000000 916.258417 101.138241
63 86821.611577 103.750000 663.584955 1911.959616 12958.098945 103.750000 103.750000 0.995568 0.065638 52.000000 52.000000 959.421421 -21.936214
64 55436.054162 103.536384 662.926443 1912.925909 17098.706125 103.500000 103.750000 9.060132 0.091549 97.000000 97.000000 960.604711 -21.945396
65 47102.229590 103.000000 860.000074 260.000324 3750.000000 103.000000 103.000000 8.700629 0.112992 45.000000 45.000000 779.029834 -167.997706
66 142157.568094 96.416671 840.666934 1460.999431 7500.000000 96.250000 96.500000 9.073392 1.086983 90.000000 90.000000 475.230901 -22.517848
67 47625.493192 94.500000 300.000251 1588.999791 3750.000000 94.500000 94.500000 9.189184 0.095614 45.000000 45.000000 918.026362 -51.856796
68 47624.947301 93.500000 312.000214 378.000201 3750.000000 93.500000 93.500000 5.422810 0.315167 45.000000 45.000000 958.559042 -132.209357
69 47592.287634 93.500000 250.000284 526.000193 3750.000000 93.500000 93.500000 8.454309 0.575079 45.000000 45.000000 917.605236 -122.720219
70 47586.887098 93.250000 362.000336 1438.999777 3750.000000 93.250000 93.250000 9.208934 0.271415 45.000000 45.000000 780.697361 -57.714559
71 47075.999931 93.000000 64.000274 971.000024 3750.000000 93.000000 93.000000 7.726030 0.456813 45.000000 45.000000 959.356280 -93.047316
72 47587.893668 93.000000 364.000336 1438.999776 3750.000000 93.000000 93.000000 6.898050 0.112737 45.000000 45.000000 779.007298 -57.635988
