%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta
-101799.90160 -40599.95860    134.31665    105.37486     72.00000      2.00000    111.74316      6.25450
102199.90160  39999.95940    140.56722    105.45667     73.00000      2.00000    -68.62515      6.26308
101999.90160  40599.95880    141.06698    105.38337     74.00000      2.00000    -68.29551      6.26502
-77999.92880  77199.92940    160.05208     96.55458     75.00000      2.00000     45.29534      6.26282
 78199.92860 -77199.92920    168.80176     96.49005     76.00000      2.00000   -134.63131      6.27088
 80199.95720 133799.93200   -179.47095     86.40861     77.00000      3.00000    -30.93856      8.86640
 78999.95780 134399.93180   -178.72119     85.98833     78.00000      3.00000    -30.44691      8.86100
155999.93140  -2799.99800   -178.41797    135.45046     79.00000      3.00000    -91.02828      8.86808
155799.93120  -1799.99860   -177.66756    107.49601     80.00000      3.00000    -90.66192      8.85607
 75199.96040 -136599.93140   -168.47241     84.56286     81.00000      3.00000   -151.16667      8.86283
 75999.95980 -136199.93160   -167.72225     84.85865     82.00000      3.00000   -150.83836      8.86496
-117799.94560 101999.95080   -138.95801     98.30454     83.00000      3.00000     49.11155      8.85678
-147399.02400 -50496.54760   -129.93738    132.55674     84.00000      3.00000    108.91064      8.85598
-147449.41700 -50774.28000   -129.93749     29.56174     85.00000      3.00000    109.00117      8.86369
-147199.93040 -50999.97520   -129.18758    105.64564     86.00000      3.00000    109.10953      8.85462
117999.94560 -101999.95080   -127.20833     98.32817     87.00000      3.00000   -130.84036      8.86524
147599.93060  50499.97760   -120.56205    133.16645     88.00000      3.00000    -71.11208      8.86667
147399.93040  50999.97520   -119.68726    105.65001     89.00000      3.00000    -70.91452      8.86519
-32199.98520 -152399.93520   -117.72884     63.55654     90.00000      3.00000    168.06966      8.85350
-131399.93260  83399.95500    -97.45044    101.96707     91.00000      3.00000     57.59657      8.84612
-131799.93280  83399.95520    -97.20044    101.99553     92.00000      3.00000     57.67532      8.86502
131799.93280 -83399.95520    -86.82576    128.50375     93.00000      3.00000   -122.32468      8.86502
 32399.98520 152399.93520    -76.97852     63.68296     94.00000      3.00000    -12.00229      8.85582
-146473.46380 -53013.89680    -65.93840     14.24375     95.00000      3.00000    109.89697      8.85393
-146299.45360 -53199.98380    -65.93848    132.75763     96.00000      3.00000    109.98317      8.84833
-146599.93040 -52799.97400    -65.18831    105.50871     97.00000      3.00000    109.80718      8.85652
-120199.94340  99199.95060    -57.20687     98.96286     98.00000      3.00000     50.46744      8.85818
146644.86440  53111.48980    -56.43812     61.71071     99.00000      3.00000    -70.09075      8.86480
146485.20300  53207.30620    -56.43815    128.69230    100.00000      3.00000    -70.03764      8.85823
146599.93040  52799.97400    -55.68799    105.50871    101.00000      3.00000    -70.19282      8.85652
120399.94340 -99199.95080    -45.70719     98.98487    102.00000      3.00000   -129.48580      8.86682
-79999.95720 133799.93180    -16.72095     86.35517    103.00000      3.00000     30.87551      8.86065
-78799.95800 134399.93160    -16.22119     85.93376    104.00000      3.00000     30.38350      8.85533
-155799.93140  -2799.99780     -7.29297    135.43218    105.00000      3.00000     91.02959      8.85689
-74999.96040 -136599.93140     -6.72241     84.50456    106.00000      3.00000    151.23109      8.85744
-155599.93120  -1799.99860     -6.66756    107.49628    107.00000      3.00000     90.66277      8.84488
-75799.96000 -136199.93140     -5.97225     84.80115    108.00000      3.00000    150.90255      8.85951
 79999.95720 -133799.93180      0.52873     86.35517    109.00000      3.00000   -149.12449      8.86065
 79199.95780 -134399.93180      1.27848     86.04272    110.00000      3.00000   -149.48976      8.86667
156034.84060   2799.70640      1.58236     94.66828    111.00000      3.00000    -88.97206      8.87003
155829.94480   2800.03540      1.58236    117.90725    112.00000      3.00000    -88.97059      8.85857
155799.93120   1799.99860      2.33276    107.49601    113.00000      3.00000    -89.33808      8.85607
 75199.96040 136599.93140     11.52791     84.56286    114.00000      3.00000    -28.83333      8.86283
 75999.95980 136199.93160     12.27808     84.85865    115.00000      3.00000    -29.16164      8.86496
-117799.93880 -101999.94720     41.04167     94.64203    116.00000      3.00000    130.88845      8.85678
-147399.82640  50598.26380     50.06291    106.16180    117.00000      3.00000     71.05408      8.85787
