SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) Radius(px) Theta(degrees) Eta(degrees) DeltaOmega NImgs RingNr GrainVolume GrainRadius PowderIntensity SigmaR SigmaEta NrPx NrPxTot
24.000000 47482.010970 152.000000 1431.999846 202.000292 3750.000000 152.000000 152.000000 916.787541 5.195099 153.434949 0.250000 1.000000 4.000000 2334772.874471 82.297254 4740.838162 9.155417 0.572177 45.000000 45.000000
25.000000 47076.005698 151.500000 106.000289 987.000019 3750.000000 151.500000 151.500000 916.668134 5.194437 -92.188184 0.250000 1.000000 4.000000 5174149.078471 107.295978 4740.838162 6.177611 0.095931 45.000000 45.000000
26.000000 47076.000046 150.750000 106.000289 983.000021 3750.000000 150.750000 150.750000 916.829575 5.195332 -92.437976 0.250000 1.000000 4.000000 5173229.653469 107.289622 4740.838162 8.164708 0.493250 45.000000 45.000000
27.000000 47553.053263 150.750000 1850.999722 1501.999831 3750.000000 150.750000 150.750000 957.935476 5.422854 59.928693 0.250000 1.000000 5.000000 4529580.090486 102.641529 1578.488392 9.190301 0.550070 45.000000 45.000000
28.000000 47559.046986 149.750000 1847.999722 1506.999829 3750.000000 149.750000 149.750000 957.862399 5.422450 59.579948 0.250000 1.000000 5.000000 4514097.867195 102.524451 1578.488392 9.199328 0.091705 45.000000 45.000000
29.000000 47075.999843 148.000000 69.000263 1130.999957 3750.000000 148.000000 148.000000 959.212953 5.429913 -83.475112 0.250000 1.000000 5.000000 5148241.223536 107.116595 1578.488392 1.534824 0.321353 45.000000 45.000000
30.000000 47354.746748 146.750000 1874.999704 1356.999878 3750.000000 146.750000 146.750000 916.424254 5.193085 68.558499 0.250000 1.000000 4.000000 4847975.997683 104.992260 4740.838162 9.012046 0.095969 45.000000 45.000000
31.000000 47075.999474 145.250000 550.000531 1075.999913 3750.000000 145.250000 145.250000 475.078403 2.713851 -83.473354 0.250000 1.000000 1.000000 5208195.159175 107.530801 1565.589622 6.902716 0.264083 45.000000 45.000000
32.000000 47518.168666 141.000000 512.000492 1224.999794 3750.000000 141.000000 141.000000 548.915672 3.132511 -68.295506 0.250000 1.000000 2.000000 4902356.215252 105.383371 1177.064788 9.053893 0.159473 45.000000 45.000000
33.000000 47075.999700 141.000000 1936.999710 1056.999981 3750.000000 141.000000 141.000000 915.668864 5.188898 87.809427 0.250000 1.000000 4.000000 5174185.621982 107.296231 4740.838162 1.534790 0.471306 45.000000 45.000000
34.000000 47509.305582 140.500000 511.000492 1221.999797 3750.000000 140.500000 140.500000 548.744399 3.131541 -68.625151 0.250000 1.000000 2.000000 4912592.621170 105.456669 1177.064788 8.991096 0.159530 45.000000 45.000000
35.000000 47167.051932 140.250000 1936.999712 1061.999979 3750.000000 140.250000 140.250000 915.873611 5.190033 87.496861 0.250000 1.000000 4.000000 5183024.564876 107.357293 4740.838162 8.041974 0.506801 45.000000 45.000000
36.000000 47075.999873 139.750000 1492.999468 968.000088 3750.000000 139.750000 139.750000 474.084896 2.708210 96.540383 0.250000 1.000000 1.000000 5208076.460848 107.529984 1565.589622 6.965330 0.185492 45.000000 45.000000
37.000000 47075.998163 137.000000 1973.999737 913.000043 3750.000000 137.000000 137.000000 958.219437 5.424423 96.531682 0.250000 1.000000 5.000000 5148218.036567 107.116434 1578.488392 4.109333 0.503230 45.000000 45.000000
38.000000 47626.339962 136.750000 441.000209 312.000242 3750.000000 136.750000 136.750000 917.420521 5.198608 -140.706199 0.250000 1.000000 4.000000 3316849.285430 92.515048 4740.838162 9.176640 0.427403 45.000000 45.000000
39.000000 82682.873641 135.750000 443.029626 310.373851 26022.340266 135.750000 135.750000 917.397661 5.198481 -140.868618 0.250000 1.000000 4.000000 5738319.080013 111.061967 4740.838162 1.067830 0.064056 52.000000 52.000000
40.000000 13167.735187 135.750000 442.856263 311.406502 40690.277779 135.750000 135.750000 916.706380 5.194649 -140.819480 0.250000 1.000000 4.000000 914830.253399 60.221371 4740.838162 0.843402 0.041236 52.000000 52.000000
41.000000 47626.362005 134.250000 420.000283 1517.999754 3750.000000 134.250000 134.250000 780.012445 4.433408 -50.514199 0.250000 1.000000 3.000000 4062515.801936 98.984870 2361.430926 9.174240 0.112522 45.000000 45.000000
42.000000 47519.202367 134.250000 1530.999508 819.000207 3750.000000 134.250000 134.250000 547.986692 3.127251 111.743161 0.250000 1.000000 2.000000 4901169.251517 105.374865 1177.064788 9.054902 0.159743 45.000000 45.000000
43.000000 47353.974965 133.750000 1531.999505 822.000205 3750.000000 133.750000 133.750000 547.813302 3.126270 111.412968 0.250000 1.000000 2.000000 4895279.355349 105.332637 1177.064788 1.892158 0.160545 45.000000 45.000000
44.000000 47623.725236 132.750000 374.000213 1671.999787 3750.000000 132.750000 132.750000 917.825390 5.200852 -44.911717 0.250000 1.000000 4.000000 3697668.861460 95.928238 4740.838162 9.073213 0.566604 45.000000 45.000000
45.000000 47623.726944 132.500000 372.000213 1668.999787 3750.000000 132.500000 132.500000 917.119647 5.196940 -45.132527 0.250000 1.000000 4.000000 3711965.305349 96.051710 4740.838162 9.074318 0.547219 45.000000 45.000000
46.000000 47076.000550 130.750000 947.000036 107.000281 3750.000000 130.750000 130.750000 918.068342 5.202198 -175.314101 0.250000 1.000000 4.000000 421973.251131 46.529898 4740.838162 8.306707 0.518414 45.000000 45.000000
47.000000 47075.998365 126.000000 945.000037 108.000281 3750.000000 126.000000 126.000000 917.237418 5.197593 -175.184484 0.250000 1.000000 4.000000 433650.998667 46.955224 4740.838162 7.728922 0.418378 45.000000 45.000000
48.000000 47309.272679 124.250000 288.000348 758.000130 3750.000000 124.250000 124.250000 780.032961 4.433522 -109.782289 0.250000 1.000000 3.000000 4920530.845017 105.513440 2361.430926 8.999697 0.661052 45.000000 45.000000
49.000000 57049.228450 123.500000 289.888400 755.987285 8820.279663 123.500000 123.500000 778.941692 4.427418 -109.968612 0.250000 1.000000 3.000000 5926636.904695 112.263843 2361.430926 1.026584 0.220178 52.000000 52.000000
50.000000 37173.357343 123.500000 288.907307 756.023545 6024.000000 123.500000 123.500000 779.851506 4.432507 -109.941492 0.250000 1.000000 3.000000 3862442.225723 97.332481 2361.430926 0.992033 0.072770 52.000000 52.000000
51.000000 47626.363412 122.750000 1622.999717 526.000247 3750.000000 122.750000 122.750000 779.240922 4.429092 129.532556 0.250000 1.000000 3.000000 4059806.250872 98.962859 2361.430926 9.173644 0.674513 45.000000 45.000000
52.000000 47626.329282 120.500000 1601.999790 1731.999757 3750.000000 120.500000 120.500000 916.787550 5.195099 39.245434 0.250000 1.000000 4.000000 3313443.085853 92.483368 4740.838162 9.177232 0.451662 45.000000 45.000000
53.000000 95252.541808 119.375000 1599.499790 1733.499756 3750.000000 119.250000 119.500000 916.445530 5.193203 39.021075 0.500000 2.000000 4.000000 6593774.955368 116.327351 4740.838162 9.177620 0.573829 90.000000 90.000000
54.000000 47088.113041 118.750000 122.000273 1201.999939 3750.000000 118.750000 118.750000 917.823233 5.200840 -78.690068 0.250000 1.000000 4.000000 5078588.478079 106.631325 4740.838162 7.528940 0.095911 45.000000 45.000000
55.000000 94183.151518 118.250000 122.000273 1198.999940 7500.000000 118.250000 118.250000 917.239602 5.197605 -78.873825 0.250000 1.000000 4.000000 10164442.136116 134.379075 4740.838162 1.536595 0.540894 45.000000 45.000000
56.000000 47623.726374 118.000000 1668.999787 372.000214 3750.000000 118.000000 118.000000 917.119647 5.196940 135.132527 0.250000 1.000000 4.000000 3694825.813683 95.903646 4740.838162 7.481193 0.477761 45.000000 45.000000
57.000000 47623.724270 117.750000 1670.999786 375.000213 3750.000000 117.750000 117.750000 916.411178 5.193013 134.911581 0.250000 1.000000 4.000000 3709141.907194 96.027351 4740.838162 9.073193 0.567479 45.000000 45.000000
