%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta OmegaIni(NoWedgeCorr) YOrig(NoWedgeCorr) ZOrig(NoWedgeCorr) YOrig(DetCor) ZOrig(DetCor) OmegaOrig(DetCor) IntegratedIntensity(count)
 94799.88900  -4999.99040     89.83114    107.71434     32.00000      1.00000    -93.01913      5.42293     89.83114  94799.88900  -4999.99040    548.00055    997.00005     89.83114  47076.00044
 94999.88940  -4999.99040     90.58114    107.71438     33.00000      1.00000    -93.01279      5.43427     90.58114  94999.88940  -4999.99040    547.00055    997.00005     90.58114  47075.99984
 36266.61320  87799.88620     96.46444    113.09709     34.00000      1.00000    -22.44356      5.42654     96.46444  36266.61320  87799.88620    840.66693   1460.99943     96.46444 142157.56809
-94199.89360 -10799.98240    139.82878    107.52998     35.00000      1.00000     96.54038      5.41642    139.82878 -94199.89360 -10799.98240   1492.99947    968.00009    139.82878  47075.99987
 94399.89380  10799.98260    145.32910    107.53080     36.00000      1.00000    -83.47335      5.42770    145.32910  94399.89380  10799.98260    550.00053   1075.99991    145.32910  47075.99947
-81799.88760  47799.93100    153.06405    102.96248     37.00000      1.00000     59.70003      5.41216    153.06405 -81799.88760  47799.93100   1430.99944   1260.99966    153.06405  47556.98637
-81999.88400  47399.93400    153.81421     99.26489     38.00000      1.00000     59.96999      5.41057    153.81421 -81999.88400  47399.93400   1431.99942   1258.99967    153.81421  42498.58862
 81999.88780 -47799.93140    159.31372    102.98289     39.00000      1.00000   -120.23905      5.42197    159.31372  81999.88780 -47799.93140    612.00056    783.00034    159.31372  47555.94541
 82199.88760 -47399.93200    160.06388    103.07319     40.00000      1.00000   -119.96957      5.42041    160.06388  82199.88760 -47399.93200    611.00056    785.00034    160.06388  47551.24304
-80599.92600 -74399.92980   -174.94710     97.52671     41.00000      2.00000    132.70939      6.25970   -174.94710 -80599.92600 -74399.92980   1424.99963    650.00035   -174.94710  47624.58695
 80799.92600  74399.93000   -166.44678     97.56364     42.00000      2.00000    -47.36138      6.26802   -166.44678  80799.92600  74399.93000    618.00037   1393.99965   -166.44678  47624.63460
-100799.90140  42799.95560   -145.93392    104.96562     43.00000      2.00000     66.99377      6.24956   -145.93392 -100799.90140  42799.95560   1525.99951   1235.99978   -145.93392  47395.87767
-101199.90160  42399.95620   -145.18376    105.03079     44.00000      2.00000     67.26767      6.26163   -145.18376 -101199.90160  42399.95620   1527.99951   1233.99978   -145.18376  47388.81170
101199.90180 -42799.95580   -138.93424    104.98483     45.00000      2.00000   -112.92471      6.27041   -138.93424 101199.90180 -42799.95580    516.00049    808.00022   -138.93424  47393.78088
101199.90160 -42399.95620   -138.43408    105.03079     46.00000      2.00000   -112.73233      6.26163   -138.43408 101199.90160 -42399.95620    516.00049    810.00022   -138.43408  47388.81136
-58199.93680 -92999.90420   -100.45467     87.46245     47.00000      2.00000    147.96140      6.26086   -100.45467 -58199.93680 -92999.90420   1312.99968    557.00048   -100.45467  47583.62010
-58199.93680 -92999.90420    -99.20467     87.46245     48.00000      2.00000    147.96140      6.26086    -99.20467 -58199.93680 -92999.90420   1312.99968    557.00048    -99.20467  47583.62010
-106999.88620  24199.97500    -95.92635    103.19217     49.00000      2.00000     77.25592      6.26045    -95.92635 -106999.88620  24199.97500   1556.99943   1142.99987    -95.92635  42498.58115
107199.90740 -24199.97800    -89.42668    106.80631     50.00000      2.00000   -102.72107      6.27150    -89.42668 107199.90740 -24199.97800    486.00046    901.00011    -89.42668  47118.10776
 58399.93680  92999.90420    -88.70435     87.53494     51.00000      2.00000    -32.12705      6.26688    -88.70435  58399.93680  92999.90420    730.00032   1486.99952    -88.70435  47584.80235
 58399.93680  92999.90420    -87.45435     87.53494     52.00000      2.00000    -32.12705      6.26688    -87.45435  58399.93680  92999.90420    730.00032   1486.99952    -87.45435  47584.80235
-101999.90100  39999.95900    -46.18278    105.33264     53.00000      2.00000     68.58703      6.25254    -46.18278 -101999.90100  39999.95900   1531.99950   1221.99979    -46.18278  47353.97470
-101799.90120  40599.95840    -45.68302    105.25914     54.00000      2.00000     68.25684      6.25450    -45.68302 -101799.90120  40599.95840   1530.99951   1224.99979    -45.68302  47362.81421
102199.90120 -39999.95920    -39.43311    105.34085     55.00000      2.00000   -111.37485      6.26308    -39.43311 102199.90120 -39999.95920    511.00049    822.00020    -39.43311  47352.95047
101999.90120 -40599.95860    -38.93335    105.26763     56.00000      2.00000   -111.70449      6.26502    -38.93335 101999.90120 -40599.95860    512.00049    819.00021    -38.93335  47361.78165
-77999.92880 -77199.92940    -19.94824     96.55458     57.00000      2.00000    134.70466      6.26282    -19.94824 -77999.92880 -77199.92940   1411.99964    636.00035    -19.94824  47779.60487
 78199.92860  77199.92920    -11.19792     96.49005     58.00000      2.00000    -45.36869      6.27088    -11.19792  78199.92860  77199.92920    631.00036   1407.99965    -11.19792  47623.74688
-80599.92600  74399.92980      5.05322     97.52671     59.00000      2.00000     47.29061      6.25970      5.05322 -80599.92600  74399.92980   1424.99963   1393.99965      5.05322  47624.58608
 80799.92600 -74399.93000     13.55290     97.56364     60.00000      2.00000   -132.63862      6.26802     13.55290  80799.92600 -74399.93000    618.00037    650.00035     13.55290  47624.63609
-100999.89300 -42799.95580     34.06576    101.22818     61.00000      2.00000    112.96540      6.25999     34.06576 -100999.89300 -42799.95580   1526.99947    808.00022     34.06576  42498.58652
-100999.90180 -42399.95620     34.81592    105.13683     62.00000      2.00000    112.77276      6.25119     34.81592 -100999.90180 -42399.95620   1526.99951    810.00022     34.81592  47546.32646
100999.89300  42799.95580     41.06608    101.22818     63.00000      2.00000    -67.03460      6.25999     41.06608 100999.89300  42799.95580    517.00054   1235.99978     41.06608  42498.58616
101399.90180  42399.95640     41.56624    105.04015     64.00000      2.00000    -67.30796      6.27207     41.56624 101399.90180  42399.95640    515.00049   1233.99978     41.56624  47387.76847
-58199.93680  92999.90420     79.54565     87.46245     65.00000      2.00000     32.03860      6.26086     79.54565 -58199.93680  92999.90420   1312.99968   1486.99952     79.54565  47583.61815
-58199.93680  92999.90420     80.79565     87.46245     66.00000      2.00000     32.03860      6.26086     80.79565 -58199.93680  92999.90420   1312.99968   1486.99952     80.79565  47583.61815
-106999.90780 -24199.97820     84.07332    106.92077     67.00000      2.00000    102.74408      6.26045     84.07332 -106999.90780 -24199.97820   1556.99954    901.00011     84.07332  47273.79124
107199.90800  24199.97820     90.57365    106.92341     68.00000      2.00000    -77.27893      6.27150     90.57365 107199.90800  24199.97820    486.00046   1142.99989     90.57365  47273.26125
 58399.93680 -92999.90420     91.29533     87.53494     69.00000      2.00000   -147.87295      6.26688     91.29533  58399.93680 -92999.90420    730.00032    557.00048     91.29533  47584.80098
 58399.93680 -92999.90420     92.54533     87.53494     70.00000      2.00000   -147.87295      6.26688     92.54533  58399.93680 -92999.90420    730.00032    557.00048     92.54533  47584.80098
-101999.90100 -39999.95900    133.81689    105.33264     71.00000      2.00000    111.41297      6.25254    133.81689 -101999.90100 -39999.95900   1531.99950    822.00021    133.81689  47353.97497
-101799.90160 -40599.95860    134.31665    105.37486     72.00000      2.00000    111.74316      6.25450    134.31665 -101799.90160 -40599.95860   1530.99951    819.00021    134.31665  47519.20237
102199.90160  39999.95940    140.56722    105.45667     73.00000      2.00000    -68.62515      6.26308    140.56722 102199.90160  39999.95940    511.00049   1221.99980    140.56722  47509.30558
101999.90160  40599.95880    141.06698    105.38337     74.00000      2.00000    -68.29551      6.26502    141.06698 101999.90160  40599.95880    512.00049   1224.99979    141.06698  47518.16867
-77999.92880  77199.92940    160.05208     96.55458     75.00000      2.00000     45.29534      6.26282    160.05208 -77999.92880  77199.92940   1411.99964   1407.99965    160.05208  47779.60554
 78199.92860 -77199.92920    168.80176     96.49005     76.00000      2.00000   -134.63131      6.27088    168.80176  78199.92860 -77199.92920    631.00036    636.00035    168.80176  47623.74689
 80199.95720 133799.93200   -179.47095     86.40861     77.00000      3.00000    -30.93856      8.86640   -179.47095  80199.95720 133799.93200    621.00021   1690.99966   -179.47095  47567.51513
 78999.95780 134399.93180   -178.72119     85.98833     78.00000      3.00000    -30.44691      8.86100   -178.72119  78999.95780 134399.93180    627.00021   1693.99966   -178.72119  47559.49463
155999.93140  -2799.99800   -178.41797    135.45046     79.00000      3.00000    -91.02828      8.86808   -178.41797 155999.93140  -2799.99800    242.00034   1008.00001   -178.41797  94190.79478
155799.93120  -1799.99860   -177.66756    107.49601     80.00000      3.00000    -90.66192      8.85607   -177.66756 155799.93120  -1799.99860    243.00034   1013.00001   -177.66756  47075.99909
 75199.96040 -136599.93140   -168.47241     84.56286     81.00000      3.00000   -151.16667      8.86283   -168.47241  75199.96040 -136599.93140    646.00020    339.00034   -168.47241  47530.03244
 75999.95980 -136199.93160   -167.72225     84.85865     82.00000      3.00000   -150.83836      8.86496   -167.72225  75999.95980 -136199.93160    642.00020    341.00034   -167.72225  47536.38923
-117799.94560 101999.95080   -138.95801     98.30454     83.00000      3.00000     49.11155      8.85678   -138.95801 -117799.94560 101999.95080   1610.99973   1531.99975   -138.95801  47625.89274
-147399.02400 -50496.54760   -129.93738    132.55674     84.00000      3.00000    108.91064      8.85598   -129.93738 -147399.02400 -50496.54760   1758.99512    769.51726   -129.93738  93304.90786
-147449.41700 -50774.28000   -129.93749     29.56174     85.00000      3.00000    109.00117      8.86369   -129.93749 -147449.41700 -50774.28000   1759.24708    768.12860   -129.93749   1035.44525
-147199.93040 -50999.97520   -129.18758    105.64564     86.00000      3.00000    109.10953      8.85462   -129.18758 -147199.93040 -50999.97520   1757.99965    767.00012   -129.18758  47290.40248
117999.94560 -101999.95080   -127.20833     98.32817     87.00000      3.00000   -130.84036      8.86524   -127.20833 117999.94560 -101999.95080    432.00027    512.00025   -127.20833  47625.92121
147599.93060  50499.97760   -120.56205    133.16645     88.00000      3.00000    -71.11208      8.86667   -120.56205 147599.93060  50499.97760    284.00035   1274.49989   -120.56205  94568.29741
147399.93040  50999.97520   -119.68726    105.65001     89.00000      3.00000    -70.91452      8.86519   -119.68726 147399.93040  50999.97520    285.00035   1276.99988   -119.68726  47289.72589
-32199.98520 -152399.93520   -117.72884     63.55654     90.00000      3.00000    168.06966      8.85350   -117.72884 -32199.98520 -152399.93520   1182.99993    260.00032   -117.72884  47100.70858
-131399.93260  83399.95500    -97.45044    101.96707     91.00000      3.00000     57.59657      8.84612    -97.45044 -131399.93260  83399.95500   1678.99966   1438.99977    -97.45044  47588.39395
-131799.93280  83399.95520    -97.20044    101.99553     92.00000      3.00000     57.67532      8.86502    -97.20044 -131799.93280  83399.95520   1680.99966   1438.99978    -97.20044  47587.39184
131799.93280 -83399.95520    -86.82576    128.50375     93.00000      3.00000   -122.32468      8.86502    -86.82576 131799.93280 -83399.95520    363.00034    605.00022    -86.82576  95174.78410
 32399.98520 152399.93520    -76.97852     63.68296     94.00000      3.00000    -12.00229      8.85582    -76.97852  32399.98520 152399.93520    860.00007   1783.99968    -76.97852  47102.23024
-146473.46380 -53013.89680    -65.93840     14.24375     95.00000      3.00000    109.89697      8.85393    -65.93840 -146473.46380 -53013.89680   1754.36732    756.93052    -65.93840    116.46768
-146299.45360 -53199.98380    -65.93848    132.75763     96.00000      3.00000    109.98317      8.84833    -65.93848 -146299.45360 -53199.98380   1753.49727    756.00008    -65.93848  94351.05163
-146599.93040 -52799.97400    -65.18831    105.50871     97.00000      3.00000    109.80718      8.85652    -65.18831 -146599.93040 -52799.97400   1754.99965    758.00013    -65.18831  47309.96580
-120199.94340  99199.95060    -57.20687     98.96286     98.00000      3.00000     50.46744      8.85818    -57.20687 -120199.94340  99199.95060   1622.99972   1517.99975    -57.20687  47626.36574
146644.86440  53111.48980    -56.43812     61.71071     99.00000      3.00000    -70.09075      8.86480    -56.43812 146644.86440  53111.48980    288.77568   1287.55745    -56.43812   9472.21083
146485.20300  53207.30620    -56.43815    128.69230    100.00000      3.00000    -70.03764      8.85823    -56.43815 146485.20300  53207.30620    289.57398   1288.03653    -56.43815  85935.28479
146599.93040  52799.97400    -55.68799    105.50871    101.00000      3.00000    -70.19282      8.85652    -55.68799 146599.93040  52799.97400    289.00035   1285.99987    -55.68799  47309.96578
