YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta XDetector YDetector
582.00000 164.00000 0.00000 100.00000 1.00000 1.00000 285.73714 3.46026 0.00000 640.00000
465.00000 403.00000 0.00000 100.00000 2.00000 1.00000 310.91438 3.52116 117.00000 879.00000
343.00000 521.00000 0.00000 100.00000 3.00000 1.00000 326.64112 3.56932 239.00000 997.00000
-380.00000 -476.00000 0.00000 100.00000 4.00000 1.00000 141.39896 3.48545 962.00000 0.00000
-491.00000 -400.00000 0.00000 100.00000 5.00000 1.00000 129.16846 3.62376 1073.00000 76.00000
-605.00000 -172.00000 0.00000 100.00000 6.00000 1.00000 105.87032 3.59902 1187.00000 304.00000
544.00000 306.00000 0.00000 100.00000 7.00000 1.00000 299.35775 3.57152 38.00000 782.00000
-571.00000 -324.00000 0.00000 100.00000 8.00000 1.00000 119.57168 3.75619 1153.00000 152.00000
-383.00000 500.00000 0.00000 100.00000 9.00000 1.00000 37.45211 3.60391 965.00000 976.00000
